// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 077002EC
//  ProductCode: MTi-G-700-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.19)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
26066,2024,02,28,50236.2380,238800000,2024,2,28,13,57,16,7,0.124808,-0.009749,9.909399,-0.009833,0.003728,0.002754,0,0,0,0,0,0
26067,2024,02,28,50236.2480,248800000,2024,2,28,13,57,16,7,0.120925,-0.016844,9.915167,-0.009546,0.002068,0.000862,0,0,0,0,0,0
26068,2024,02,28,50236.2580,258800000,2024,2,28,13,57,16,7,0.126432,-0.003700,9.903374,-0.010854,0.000269,0.001379,0,0,0,0,0,0
26069,2024,02,28,50236.2680,268800000,2024,2,28,13,57,16,7,0.122787,-0.008075,9.909729,-0.009482,0.000904,0.001949,0,0,0,0,0,0
26070,2024,02,28,50236.2780,278800000,2024,2,28,13,57,16,7,0.109358,-0.004511,9.917014,-0.009437,0.002271,0.000875,0,0,0,0,0,0
26071,2024,02,28,50236.2880,288800000,2024,2,28,13,57,16,7,0.107763,-0.013109,9.921744,-0.007778,0.003806,0.002403,0,0,0,0,0,0
26072,2024,02,28,50236.2980,298800000,2024,2,28,13,57,16,7,0.120364,-0.019367,9.905551,-0.007728,0.001210,0.001753,0,0,0,0,0,0
26073,2024,02,28,50236.3080,308800000,2024,2,28,13,57,16,7,0.113853,-0.010596,9.908777,-0.008097,0.003759,0.002840,8.998664819,38.731210534,0,0,0,0
26074,2024,02,28,50236.3180,318800000,2024,2,28,13,57,16,7,0.129577,-0.007862,9.923706,-0.008454,0.005644,0.001984,0,0,0,0,0,0
26075,2024,02,28,50236.3280,328800000,2024,2,28,13,57,16,7,0.123153,-0.010469,9.907249,-0.007797,0.005377,0.001141,0,0,0,0,0,0
26076,2024,02,28,50236.3380,338800000,2024,2,28,13,57,16,7,0.118923,-0.004172,9.920588,-0.008568,0.005081,0.002129,0,0,0,0,0,0
26077,2024,02,28,50236.3480,348800000,2024,2,28,13,57,16,7,0.119853,0.007676,9.928891,-0.008459,0.003129,-0.001208,0,0,0,0,0,0
26078,2024,02,28,50236.3580,358800000,2024,2,28,13,57,16,7,0.123895,-0.015731,9.921965,-0.009716,0.002432,0.001140,0,0,0,0,0,0
26079,2024,02,28,50236.3680,368800000,2024,2,28,13,57,16,7,0.119732,0.004694,9.905166,-0.009576,0.002399,0.003151,0,0,0,0,0,0
26080,2024,02,28,50236.3780,378800000,2024,2,28,13,57,16,7,0.133223,-0.015925,9.914743,-0.007481,0.004439,0.000963,0,0,0,0,0,0
26081,2024,02,28,50236.3880,388800000,2024,2,28,13,57,16,7,0.121785,-0.000623,9.922761,-0.009126,0.005473,0.001003,0,0,0,0,0,0
26082,2024,02,28,50236.3980,398800000,2024,2,28,13,57,16,7,0.117449,-0.004312,9.903129,-0.009630,0.004618,0.000546,0,0,0,0,0,0
26083,2024,02,28,50236.4080,408800000,2024,2,28,13,57,16,7,0.118379,-0.008853,9.927108,-0.007967,0.003105,-0.000883,0,0,0,0,0,0
26084,2024,02,28,50236.4180,418800000,2024,2,28,13,57,16,7,0.124908,-0.004143,9.891245,-0.012241,0.000148,0.002679,0,0,0,0,0,0
26085,2024,02,28,50236.4280,428800000,2024,2,28,13,57,16,7,0.120059,-0.011607,9.907554,-0.007229,0.003592,0.003820,0,0,0,0,0,0
26086,2024,02,28,50236.4380,438800000,2024,2,28,13,57,16,7,0.116031,0.007292,9.915792,-0.009020,0.006985,0.001340,0,0,0,0,0,0
26087,2024,02,28,50236.4480,448800000,2024,2,28,13,57,16,7,0.129147,-0.001371,9.916568,-0.009936,0.001084,0.002328,0,0,0,0,0,0
26088,2024,02,28,50236.4580,458800000,2024,2,28,13,57,16,7,0.132932,-0.020787,9.913556,-0.009562,0.002297,0.001181,0,0,0,0,0,0
26089,2024,02,28,50236.4680,468800000,2024,2,28,13,57,16,7,0.138332,-0.010696,9.903778,-0.011441,0.003169,-0.000069,0,0,0,0,0,0
26090,2024,02,28,50236.4780,478800000,2024,2,28,13,57,16,7,0.118966,-0.008888,9.911810,-0.008235,0.002518,0.002624,0,0,0,0,0,0
26091,2024,02,28,50236.4880,488800000,2024,2,28,13,57,16,7,0.130505,-0.015951,9.912926,-0.009528,0.000731,0.001753,0,0,0,0,0,0
